design,variation,sku_id,sku_name,platform,status,notes
BANGLE,Base,bangle,BANGLE-5 FIVE,fk,auto,
BANGLE,Base,bangle4,BANGLE-4,fk,auto,
COMBO-1,Bahubali,bcombo1-me,Bahubali Chain COMBO 1,me,auto,
COIN-CHOKER,Base,coin-choker,Coin Pearl Choker,me,auto,
COIN-CHOKER,Base,coin-fk,Coin Pearl Choker,fk,auto,
COMBO-1,Base,combo1-me,New Combo 1,me,needs_review,Other variations exist: Bahubali
COMBO-3,Base,combo3-me,New Combo 3,me,auto,
DJ-1,Bahubali,dj1-me,DJ-1 Bahubali S,me,auto,
DJ-11,Bahubali,dj11-me,DJ-11 BAHUBALI,me,auto,
DJ-11,Bahubali,dj11b,DJ-11 Bahubali,fk,auto,
DJ-12,Pink,dj12p,DJ-12 Pink Kashmiri,fk,auto,
DJ-13,Bahubali,dj13-me,DJ-13 BAHUBALI,me,auto,
DJ-14,Bahubali,dj14-me,DJ 14 Bahubali,me,auto,
DJ-14,Bahubali,dj14b,DJ-14 Bahubali,fk,auto,
DJ-1,Bahubali,dj1b,Bahubali DJ1 Small,fk,auto,
DJ-3,Bahubali,dj3-me,DJ-3 Bahubali Three,me,auto,
DJ-3,Bahubali,dj3b,Bahubali DJ3,fk,auto,
DJ-4,Bahubali,dj4b,DJ-4 Bahubali,fk,auto,
DJ-5,Bahubali,dj5-me,DJ-5 Bahubali Five,me,auto,
DJ-5,Bahubali,dj5b,DJ-5 Bahubali,fk,auto,
DJ-5,Bahubali,dj5b2,DJ-5 Bahu (2),fk,auto,
DJ-6,Bahubali,dj6-me,DJ-6 Bahubali Six,me,auto,
DJ-6,Bahubali,dj6b,DJ-6 Bahubali,fk,auto,
DJ-7,Bahubali,dj7-me,DJ-7 Bahubali,me,auto,
DJ-7,Bahubali,dj7b,Bahubali DJ7,fk,auto,
DJ-8,Base,dj8,DJ-8,fk,needs_review,Other variations exist: OG
DJ-9,Base,dj9-fk,DJ-9,fk,auto,
DJ-9,Base,dj9-me,DJ-9,me,auto,
UNKNOWN,Bahubali,djbahu-me,DJ Bahu,me,needs_review,Design could not be auto-detected
UNKNOWN,Base,fk-4rs,4RS,fk,needs_review,Design could not be auto-detected
