__table__,date,sku_id,sku_name,views,clicks,sales,revenue,ctr,conversion_rate
fk_daily_alltime,2025-10-01,fk-bbo4,BBO4,1,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-butterfly-bow-earings,butterfly&bow earings,4,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-dc2,DC2,6,2,0,0.0,33.33,0.0
fk_daily_alltime,2025-10-01,fk-dc3,DC3,4,2,0,0.0,50.0,0.0
fk_daily_alltime,2025-10-01,fk-dj-1,DJ-1,27,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-dj-2,DJ-2,90,4,0,0.0,4.44,0.0
fk_daily_alltime,2025-10-01,fk-dm1,DM1,12,1,0,0.0,8.33,0.0
fk_daily_alltime,2025-10-01,fk-e-26,E-26,118,1,0,0.0,0.85,0.0
fk_daily_alltime,2025-10-01,fk-earrings-with-red---green-stone-and-pearls,Earrings With Red & Green Stone And Pearls,153,1,0,0.0,0.65,0.0
fk_daily_alltime,2025-10-01,fk-haathi-earring-set,Haathi Earring Set,1,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-j11---j13,J11 - J13,240,4,0,0.0,1.67,0.0
fk_daily_alltime,2025-10-01,fk-j2,J2,97,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-jc-1-2,JC-1.2,57,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-jumbo-jhumka,Jumbo Jhumka,99,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-lakshmi-ji-jhumka,Lakshmi ji Jhumka,57,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-me21-1,ME21-1,13,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-me22-1,ME22-1,9,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-mjc1,MJC1,10,2,0,0.0,20.0,0.0
fk_daily_alltime,2025-10-01,fk-mjc2,MJC2,450,208,0,0.0,46.22,0.0
fk_daily_alltime,2025-10-01,fk-mjc3,MJC3,23,11,0,0.0,47.83,0.0
fk_daily_alltime,2025-10-01,fk-nj-3,NJ-3,570,58,0,0.0,10.18,0.0
fk_daily_alltime,2025-10-01,fk-nj3,NJ3,20,1,0,0.0,5.0,0.0
fk_daily_alltime,2025-10-01,fk-pmc-1,PMC-1,5,1,0,0.0,20.0,0.0
fk_daily_alltime,2025-10-01,fk-pmc-2,PMC-2,1,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-pmc1,PMC1,1,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-pmc10,PMC10,4,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-pmc11,PMC11,19,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-pmc12,PMC12,7,1,0,0.0,14.29,0.0
fk_daily_alltime,2025-10-01,fk-pmc13,PMC13,1,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-pmc14,PMC14,11,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-pmc16,PMC16,1,3,0,0.0,300.0,0.0
fk_daily_alltime,2025-10-01,fk-pmc18,PMC18,3,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-pmc2,PMC2,16,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-pmc3,PMC3,2,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-pmc4,PMC4,16,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-pmc5,PMC5,2,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-pmc6,PMC6,5,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-pmc7,PMC7,26,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-pmc8,PMC8,9,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-pmc9,PMC9,20,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-s-5678,S-5678,3,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-yj-12,YJ(12),2,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-yj-butterfly-earring,YJ Butterfly Earring,7,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-yj2,YJ2,21,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-yj3,YJ3,22,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-01,fk-yjc-1,YJC-1,176,69,0,0.0,39.2,0.0
fk_daily_alltime,2025-10-02,fk-ath1,ATH1,1,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-02,fk-bbo3,BBO3,1,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-02,fk-bbo4,BBO4,1,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-02,fk-butterfly-bow-earings,butterfly&bow earings,7,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-02,fk-dc1,DC1,1,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-02,fk-dc2,DC2,9,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-02,fk-dc3,DC3,4,0,0,0.0,0.0,0
fk_daily_alltime,2025-10-02,fk-dj-1,DJ-1,35,1,0,0.0,2.86,0.0
fk_daily_alltime,2025-10-02,fk-dj-2,DJ-2,43,4,0,0.0,9.3,0.0
