__table__,month,sku_id,sku_name,keyword,total_views,impression_pct,attributed_views
fk_keywords,2026-04,dj5b,DJ-5 Bahubali,jhumka for women,481339,13.529,64608
fk_keywords,2026-04,dj5b,DJ-5 Bahubali,earrings jhumka heavy,481339,6.6653,32980
fk_keywords,2026-04,dj5b,DJ-5 Bahubali,earrings with chain,481339,6.491,31329
fk_keywords,2026-04,dj5b,DJ-5 Bahubali,jhumka gold,481339,4.502,21984
fk_keywords,2026-04,dj7b,Bahubali DJ7,jhumka for women,155857,13.529,20877
fk_keywords,2026-04,dj3b,Bahubali DJ3,jhumka for women,122455,13.529,16559
fk_keywords,2026-04,dj6b,DJ-6 Bahubali,jhumka for women,115507,13.529,15622
fk_keywords,2026-04,ogdj6,OG DJ-6,jhumka for women,96679,13.529,13477
fk_keywords,2026-04,dj5b,DJ-5 Bahubali,chain earrings,423803,2.9623,12642
fk_keywords,2026-04,dj5b,DJ-5 Bahubali,kan kempu jhumka earrings,423803,2.8653,12299
fk_keywords,2026-04,dj7b,Bahubali DJ7,earrings jhumka heavy,155857,6.6653,10732
fk_keywords,2026-04,dj7b,Bahubali DJ7,earrings with chain,155857,6.491,10176
fk_keywords,2026-04,ogdj5,OG DJ-5,jhumka for women,62173,13.529,8458
fk_keywords,2026-04,dj3b,Bahubali DJ3,earrings jhumka heavy,122455,6.6653,8365
fk_keywords,2026-04,dj6b,DJ-6 Bahubali,earrings jhumka heavy,115507,6.6653,7894
fk_keywords,2026-04,dj3b,Bahubali DJ3,earrings with chain,122455,6.491,7871
fk_keywords,2026-04,dj6b,DJ-6 Bahubali,earrings with chain,115507,6.491,7452
fk_keywords,2026-04,dj7b,Bahubali DJ7,jhumka gold,155857,4.502,7168
fk_keywords,2026-04,ogdj6,OG DJ-6,earrings jhumka heavy,96679,6.6653,6570
fk_keywords,2026-04,nj2-1,NJ2-1,jhumka for women,44362,13.529,6151
fk_keywords,2026-04,ogdj6,OG DJ-6,earrings with chain,96679,6.491,6086
fk_keywords,2026-04,coin-fk,Coin Pearl Choker,jhumka for women,43543,13.529,5927
fk_keywords,2026-04,dj5b,DJ-5 Bahubali,jhumka with side chain,366267,1.5996,5835
fk_keywords,2026-04,dj3b,Bahubali DJ3,jhumka gold,122455,4.502,5508
fk_keywords,2026-04,dj5b,DJ-5 Bahubali,earrings chain,347764,1.5883,5508
fk_keywords,2026-04,dj6b,DJ-6 Bahubali,jhumka gold,115507,4.502,5233
fk_keywords,2026-04,dj11b,DJ-11 Bahubali,jhumka for women,42123,13.693,4995
fk_keywords,2026-04,ogdj6,OG DJ-6,jhumka gold,96679,4.502,4296
fk_keywords,2026-04,ogdj5,OG DJ-5,earrings jhumka heavy,62173,6.6653,4271
fk_keywords,2026-04,dj7b,Bahubali DJ7,chain earrings,133925,2.9623,4005
fk_keywords,2026-04,ogdj5,OG DJ-5,earrings with chain,62173,6.491,3970
fk_keywords,2026-04,dj5b,DJ-5 Bahubali,earrings for women,135436,2.95,3958
fk_keywords,2026-04,dj7b,Bahubali DJ7,kan kempu jhumka earrings,133925,2.8653,3896
fk_keywords,2026-04,dj5b,DJ-5 Bahubali,heavy jhumka for women,230831,1.3967,3229
fk_keywords,2026-04,dj3b,Bahubali DJ3,chain earrings,107226,2.9623,3162
fk_keywords,2026-04,dj3b,Bahubali DJ3,kan kempu jhumka earrings,107226,2.8653,3103
fk_keywords,2026-04,nj2-1,NJ2-1,earrings jhumka heavy,44362,6.6653,3015
fk_keywords,2026-04,dj11b,DJ-11 Bahubali,earrings with chain,41823,6.4886,2973
fk_keywords,2026-04,coin-fk,Coin Pearl Choker,earrings jhumka heavy,43543,6.6653,2967
fk_keywords,2026-04,dj11b,DJ-11 Bahubali,earrings jhumka heavy,41823,6.6362,2946
fk_keywords,2026-04,dj6b,DJ-6 Bahubali,chain earrings,99153,2.9623,2930
fk_keywords,2026-04,dj6b,DJ-6 Bahubali,kan kempu jhumka earrings,99153,2.8653,2864
fk_keywords,2026-04,nj2-1,NJ2-1,earrings with chain,44362,6.491,2826
fk_keywords,2026-04,coin-fk,Coin Pearl Choker,earrings with chain,43543,6.491,2805
fk_keywords,2026-04,ogdj5,OG DJ-5,jhumka gold,62173,4.502,2801
fk_keywords,2026-04,ogdj6,OG DJ-6,kan kempu jhumka earrings,82725,2.8653,2397
fk_keywords,2026-04,ogdj6,OG DJ-6,chain earrings,82725,2.9623,2392
fk_keywords,2026-04,dj11b,DJ-11 Bahubali,jhumka gold,41973,4.4827,2058
fk_keywords,2026-04,dj5b,DJ-5 Bahubali,jhumka chain,151515,1.3522,2048
fk_keywords,2026-04,nj2-1,NJ2-1,jhumka gold,44362,4.502,1988
fk_keywords,2026-04,coin-fk,Coin Pearl Choker,jhumka gold,43543,4.502,1971
fk_keywords,2026-04,dj7b,Bahubali DJ7,jhumka with side chain,111993,1.5996,1777
fk_keywords,2026-04,njo2,NJO-2 Silver Bahubali,jhumka for women,12960,13.529,1750
fk_keywords,2026-04,dj7b,Bahubali DJ7,earrings chain,105506,1.5883,1663
fk_keywords,2026-04,ogdj5,OG DJ-5,chain earrings,53198,2.9623,1558
fk_keywords,2026-04,ogdj5,OG DJ-5,kan kempu jhumka earrings,53198,2.8653,1546
fk_keywords,2026-04,dj3b,Bahubali DJ3,jhumka with side chain,91997,1.5996,1470
fk_keywords,2026-04,dj3b,Bahubali DJ3,earrings chain,88014,1.5883,1409
fk_keywords,2026-04,fk-og-nj-3-three,OG NJ-3 THREE,jhumka for women,10447,13.529,1390
fk_keywords,2026-04,dj5b2,DJ-5 Bahu (2),jhumka for women,10202,13.426,1366
fk_keywords,2026-04,dj6b,DJ-6 Bahubali,jhumka with side chain,82799,1.5996,1315
fk_keywords,2026-04,dj5b,DJ-5 Bahubali,jhumkas earrings,79316,1.63,1292
fk_keywords,2026-04,dj11b,DJ-11 Bahubali,chain earrings,39902,2.9576,1280
fk_keywords,2026-04,ogdj14,OG DJ-14,jhumka for women,10444,11.4084,1259
fk_keywords,2026-04,dj6b,DJ-6 Bahubali,earrings chain,77764,1.5883,1242
fk_keywords,2026-04,dj11b,DJ-11 Bahubali,kan kempu jhumka earrings,39902,2.8566,1166
fk_keywords,2026-04,dj7b,Bahubali DJ7,earrings for women,39357,2.95,1164
fk_keywords,2026-04,dj3b,Bahubali DJ3,earrings for women,40087,2.95,1155
fk_keywords,2026-04,coin-fk,Coin Pearl Choker,chain earrings,38840,2.9623,1149
fk_keywords,2026-04,coin-fk,Coin Pearl Choker,kan kempu jhumka earrings,38840,2.8653,1126
fk_keywords,2026-04,nj2-1,NJ2-1,chain earrings,37921,2.9623,1106
fk_keywords,2026-04,nj2-1,NJ2-1,kan kempu jhumka earrings,37921,2.8653,1102
fk_keywords,2026-04,ogdj6,OG DJ-6,earrings chain,66132,1.5883,1076
fk_keywords,2026-04,ogdj6,OG DJ-6,jhumka with side chain,68771,1.5996,1071
fk_keywords,2026-04,dj6b,DJ-6 Bahubali,earrings for women,35226,2.95,1027
fk_keywords,2026-04,dj7b,Bahubali DJ7,heavy jhumka for women,72636,1.3967,1016
fk_keywords,2026-04,bangle4,BANGLE-4,jhumka for women,7504,16.84,963
fk_keywords,2026-04,ogdj6,OG DJ-6,earrings for women,33228,2.95,957
fk_keywords,2026-04,nj-sm,NJ Small,jhumka for women,7003,13.5761,954
fk_keywords,2026-04,fk-kamarband--1,KAMARBAND-(1),jhumka for women,7106,15.854,924
fk_keywords,2026-04,fk-lakshmi-ji-jhumka,Lakshmi ji Jhumka,jhumka for women,6416,13.5756,895
fk_keywords,2026-04,dj5b,DJ-5 Bahubali,heavy earrings for women,62501,1.422,889
fk_keywords,2026-04,njo2,NJO-2 Silver Bahubali,earrings jhumka heavy,12960,6.6653,883
fk_keywords,2026-04,njo2,NJO-2 Silver Bahubali,earrings with chain,12960,6.491,836
fk_keywords,2026-04,dj5b,DJ-5 Bahubali,jhumka for women gold,54432,1.495,815
fk_keywords,2026-04,ogdj14,OG DJ-14,earrings jhumka heavy,10740,7.319,799
fk_keywords,2026-04,fk-og-nj-3-three,OG NJ-3 THREE,earrings jhumka heavy,10447,6.6653,725
fk_keywords,2026-04,dj3b,Bahubali DJ3,heavy jhumka for women,51910,1.3967,723
fk_keywords,2026-04,ogdj14,OG DJ-14,earrings with chain,10444,7.0468,720
fk_keywords,2026-04,ogdj5,OG DJ-5,jhumka with side chain,44223,1.5996,695
fk_keywords,2026-04,fk-dj-2-bahubali,DJ-2 Bahubali,jhumka for women,4960,13.6071,683
fk_keywords,2026-04,fk-og-nj-3-three,OG NJ-3 THREE,earrings with chain,10447,6.491,680
fk_keywords,2026-04,ogdj5,OG DJ-5,earrings chain,42215,1.5883,680
fk_keywords,2026-04,dj5b2,DJ-5 Bahu (2),earrings jhumka heavy,10202,6.6033,679
fk_keywords,2026-04,dj6b,DJ-6 Bahubali,heavy jhumka for women,47573,1.3967,665
fk_keywords,2026-04,dj7b,Bahubali DJ7,jhumka chain,49166,1.3522,664
fk_keywords,2026-04,dj5b2,DJ-5 Bahu (2),earrings with chain,10202,6.3973,658
fk_keywords,2026-04,dj14b,DJ-14 Bahubali,jhumka for women,5267,10.8388,655
fk_keywords,2026-04,dj11b,DJ-11 Bahubali,jhumka with side chain,37981,1.5996,636
fk_keywords,2026-04,njo2,NJO-2 Silver Bahubali,jhumka gold,12960,4.502,585
fk_keywords,2026-04,bangle4,BANGLE-4,earrings jhumka heavy,7870,4.9138,583
fk_keywords,2026-04,ogdj5,OG DJ-5,earrings for women,19596,2.95,561
fk_keywords,2026-04,coin-fk,Coin Pearl Choker,jhumka with side chain,34137,1.5996,540
fk_keywords,2026-04,fk-kamarband--1,KAMARBAND-(1),earrings jhumka heavy,7146,6.0033,533
fk_keywords,2026-04,coin-fk,Coin Pearl Choker,earrings chain,32874,1.5883,524
fk_keywords,2026-04,dj11b,DJ-11 Bahubali,earrings chain,34864,1.5883,521
fk_keywords,2026-04,ogdj14,OG DJ-14,jhumka gold,10444,4.8795,511
fk_keywords,2026-04,ogdj6,OG DJ-6,heavy jhumka for women,35543,1.3967,496
fk_keywords,2026-04,bangle4,BANGLE-4,earrings with chain,7489,5.8875,492
fk_keywords,2026-04,nj2-1,NJ2-1,jhumka with side chain,31480,1.5996,492
fk_keywords,2026-04,nj2-1,NJ2-1,earrings chain,30244,1.5883,489
fk_keywords,2026-04,fk-og-nj-3-three,OG NJ-3 THREE,jhumka gold,10447,4.502,483
fk_keywords,2026-04,nj-sm,NJ Small,earrings jhumka heavy,7003,6.6057,471
fk_keywords,2026-04,fk-kamarband--1,KAMARBAND-(1),earrings with chain,7072,6.56,464
fk_keywords,2026-04,dj11b,DJ-11 Bahubali,heavy jhumka for women,33088,1.3967,463
fk_keywords,2026-04,dj5b2,DJ-5 Bahu (2),jhumka gold,10202,4.447,460
fk_keywords,2026-04,fk-lakshmi-ji-jhumka,Lakshmi ji Jhumka,earrings jhumka heavy,6787,6.357,452
fk_keywords,2026-04,nj-sm,NJ Small,earrings with chain,7003,6.4846,447
fk_keywords,2026-04,dj3b,Bahubali DJ3,jhumka chain,31914,1.3522,433
fk_keywords,2026-04,dj14b,DJ-14 Bahubali,earrings jhumka heavy,5709,6.3015,421
fk_keywords,2026-04,dj6b,DJ-6 Bahubali,jhumka chain,30206,1.3522,408
fk_keywords,2026-04,nj2-1,NJ2-1,earrings for women,13889,2.95,405
fk_keywords,2026-04,fk-lakshmi-ji-jhumka,Lakshmi ji Jhumka,earrings with chain,6416,6.467,402
fk_keywords,2026-04,coin-fk,Coin Pearl Choker,earrings for women,13315,2.95,387
fk_keywords,2026-04,dj7b,Bahubali DJ7,jhumkas earrings,23470,1.63,382
fk_keywords,2026-04,bangle4,BANGLE-4,jhumka gold,7489,4.48,369
fk_keywords,2026-04,fk-dj-3,DJ-3,jhumka for women,2612,13.74,359
fk_keywords,2026-04,dj14b,DJ-14 Bahubali,earrings with chain,5267,6.9563,352
fk_keywords,2026-04,ogdj5,OG DJ-5,heavy jhumka for women,24627,1.3967,345
fk_keywords,2026-04,fk-kamarband--1,KAMARBAND-(1),jhumka gold,7072,4.78,338
fk_keywords,2026-04,njo2,NJO-2 Silver Bahubali,chain earrings,11431,2.9623,338
fk_keywords,2026-04,ogdj6,OG DJ-6,jhumka chain,24523,1.3522,332
fk_keywords,2026-04,fk-dj-1-small,DJ-1-SMALL,jhumka for women,1803,17.4967,331
fk_keywords,2026-04,fk-dj-2-bahubali,DJ-2 Bahubali,earrings jhumka heavy,5080,6.3188,330
fk_keywords,2026-04,njo2,NJO-2 Silver Bahubali,kan kempu jhumka earrings,11431,2.8653,330
fk_keywords,2026-04,dj3b,Bahubali DJ3,jhumkas earrings,19996,1.63,325
fk_keywords,2026-04,ogdj14,OG DJ-14,chain earrings,10199,3.1905,322
fk_keywords,2026-04,dj3b,Bahubali DJ3,heavy earrings for women,22551,1.422,320
fk_keywords,2026-04,fk-dj-2-bahubali,DJ-2 Bahubali,earrings with chain,4960,6.5287,319
